コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
Rqn_A9TUp9Y,レントゲンで異常なし。でも痛みが続くのはなぜ？　#レントゲン #レントゲン検査 #検査結果 #異常なし #痛み #病院 #診療放射線技師,"Aug 20, 2026",59,6,0.011,0,50,0
F-cvsMA6nuQ,腎機能が低下していると、造影剤は使えないの？#造影CT #造影剤 #CT検査 #腎機能 #透析 #医療検査 #検査の不安 #診療放射線技師 #病院検査 #医療知識,"Jul 1, 2026",104,6,0.0734,1,29,0
Hafx67_MD-U,妊娠しているかも…検査前に言って大丈夫？#妊娠の可能性 #レントゲン検査 #CT検査 #検査前の不安 #病院あるある #医療知識 #診療放射線技師,"Jul 26, 2026",53,6,0.0075,0,14,0
wrc9hsjrqx8,小さいヒビ、レントゲンで見逃すことがあるの？#レントゲン #X線写真 #骨折 #ヒビ #手首の痛み #検査結果 #再検査 #医療知識 #診療放射線技師 #放射線検査  #患者さん向け  #安心して検査,"Jul 23, 2026",66,5,0.0123,0,15,6.67
uaBaEmqfmzE,CTとMRI、同じ検査じゃない#CT検査 #MRI検査 #放射線技師 #医療知識 #検査前に知っておきたい #放射線技師の安心ラボ,"May 21, 2026",44,5,0.0257,0,21,9.52
suG27BPKF9g,乳がん検診、何歳から受ければいいの？#乳がん検診 #マンモグラフィ #乳がん #乳腺外科 #婦人科 #検診 #健康診断 #女性の健康 #30.40代女性 #医療情報 #検査の不安 #診療放射線技師,"Jun 16, 2026",57,5,0.0245,0,27,7.41
c39Qn8d86jw,造影剤の検査後、水分をとるように言われる理由 #造影剤 #造影CT #CT検査 #検査後 #水分補給 #医療の不安 #診療放射線技師,"Aug 9, 2026",55,5,0.0326,0,50,4
WkXTl-K7UH8,高齢の方の骨折、レントゲンだけで手術が決まるの？#骨折 #レントゲン #整形外科 #高齢者の骨折 #手術前 #CT検査 #診療放射線技師,"Jul 24, 2026",58,5,0.0134,1,27,3.7
yCoseKNslvc,検査中に動いてしまった、大丈夫？#レントゲン #CT検査 #放射線検査 #検査前の不安 #医療知識 #病院あるある #患者さんへ #診療放射線技師 #検査の疑問 #健康診断,"Jul 8, 2026",53,5,0.0043,0,28,0
pbFaB3s2A3c,MRI前の金属チェック、なぜ聞かれる？#MRI #MRI検査 #金属チェック #放射線技師 #診療放射線技師 #検査前 #医療知識 #医療雑学 #不安解消,"May 22, 2026",43,5,0.0082,0,30,0
NK4qSW_UXEo,骨密度の結果、YAM70%って何？#骨密度検査 #YAM #骨粗しょう症 #骨量減少 #整形外科 #健康診断 #検査結果 #診療放射線技師 #医療知識 #保存推奨,"Jun 20, 2026",70,4,0.0238,0,15,6.67
DE6f2MR9Mss,救急でCT？命を守るために必要なことも#CT検査 #救急医療 #外傷 #全身CT #放射線 #医療知識 #健康リテラシー #検査 #病院 #医療の話,"May 18, 2026",34,4,0.008,0,40,2.5
uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,4,0.012,0,19,0
eMQqu-Jns6w,明日検査の人、前日はこれだけ確認#検査前#検査前日#検査準備#放射線技師#病院検査#CT検査#MRI検査#健康診断#医療#医療知識#患者さん向け#不安解消#お薬手帳#検査の不安#保存推奨,"May 29, 2026",54,4,0.0027,0,4,0
mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,4,0.0123,0,109,0.92
YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,4,0.0146,0,34,5.88
YMCA_PsbXY4,マンモグラフィーで胸を圧迫するのはなぜ？大切な理由があります#マンモグラフィー #乳がん検診 #乳がん検査 #検査前 #病院検査 #医療知識 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 7, 2026",41,3,0.0084,0,54,1.85
6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,3,0.0067,0,22,0
vo0XEr8bz1E,検査台に上がるのが不安な時、先に伝えてください　#検査前の不安 #レントゲン検査 #検査台 #病院で困ったこと #患者さん向け #診療放射線技師 #医療の安心 #検査室で役立つこと,"Sep 1, 2026",49,3,0.005,0,59,1.69
Abq4eQGVeGM,エコー検査、痛い？怖い？我慢しなくて大丈夫です#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 4, 2026",46,3,0.0101,0,28,3.57
q-8bDBq9O7A,なぜ息を吸って止めるの？#レントゲン #胸部レントゲン #胸部X線 #放射線検査 #診療放射線技師 #検査前の不安 #医療知識 #健康診断 #病院検査 #安心して検査,"Jun 24, 2026",61,3,0.0175,0,29,6.9
PE0k4sFEefk,検査前の絶食、なんで必要？#検査前 #絶食 #CT検査 #造影CT #エコー検査 #放射線技師 #診療放射線技師 #医療知識 #検査の不安 #不安解消,"May 30, 2026",62,3,0.0101,0,13,0
pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,3,0.0017,0,19,0
3FrvK49HQBE,体をひねる指示、痛みで途中までしかできない時 #レントゲン検査 #放射線検査 #検査の不安 #痛みがある時 #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 28, 2026",58,3,0.0044,0,16,0
d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,3,0.009,0,42,0
NIj099kRV3M,親の検査前の案内、家族も一緒に聞いていい？　#検査前の不安 #親の検査 #家族の付き添い #医療検査 #検査前確認 #患者さん向け #診療放射線技師,"Aug 14, 2026",63,3,0.0022,0,20,0
nXHYAiXBru0,検査中に気分が悪くなったら、我慢しなくて大丈夫です#検査 #CT検査 #造影CT #放射線検査 #医療 #病院 #診療放射線技師 #検査の不安 #体調不良 #医療従事者 #健康管理 #患者さん向け,"Jul 15, 2026",63,3,0.0178,0,19,0
KFUL5Xln05M,DXA法って何？なぜ腰と太ももの付け根で測るの？#骨密度検査  #DXA法 #できさ #骨粗しょう症 #健康診断 #診療放射線技師 #検査の不安 #医療解説 #女性の健康 #健診 #安心して検査,"Jun 13, 2026",60,3,0.0082,0,13,7.69
3iT9Z0f05Es,親の着替えが不安な時 付き添い家族が先に伝えたいこと　#親の検査 #付き添い家族 #検査前の不安 #高齢の親 #病院付き添い #医療検査 #検査着 #診療放射線技師,"Aug 15, 2026",57,3,0.0004,0,47,0
pPExvp0TwAc,検査中にトイレへ行きたくなったら、言って大丈夫です　#MRI検査 #CT検査 #検査前の不安 #トイレ問題 #医療検査 #患者さん向け #診療放射線技師,"Jul 27, 2026",55,3,0.0314,0,26,3.85
 -srnUvQ8rs0,健診で、かかとに音波を当てるのはなぜ？#骨密度検査 #骨密度 #骨粗鬆症予防 #健診 #健康診断 #かかと検査 #超音波検査 #女性の健康 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 11, 2026",41,2,0.0099,0,16,0
wWvydoTv8YM,親の検査当日、家族はどこで待つ？　#検査付き添い #親の検査 #家族の付き添い #検査前の不安 #病院付き添い #医療不安 #診療放射線技師,"Aug 18, 2026",49,2,0.0009,0,10,0
kiV9LttK6vk,お腹が痛いのに、なぜ胸のレントゲン？#胸部X線#レントゲン#腹痛#検査の理由#病院の検査#診療放射線技師#医療知識#検査前の不安#患者さん向け,"Jun 23, 2026",63,2,0.0106,0,14,0
Xslt2TVY6Dc,抱っこしたまま検査に付き添っても大丈夫？#レントゲン #小児検査 #子どもの検査 #付き添い検査 #医療情報 #診療放射線技師 #検査の不安 #子育て #育児 #病院付き添い,"Jul 9, 2026",55,2,0.0032,0,13,0
 -zjp7Kqq-xU,レントゲンって、実は人の名前だった？#レントゲン #X線写真 #X線検査 #医療豆知識 #検査の豆知識 #放射線検査 #診療放射線技師,"Jul 25, 2026",82,2,0.0177,0,9,11.11
xFRCtGTIrO0,親の検査、付き添いは検査室まで一緒に入れる？　#検査付き添い #親の検査 #CT検査 #レントゲン検査 #検査前の不安 #医療知識 #診療放射線技師,"Aug 11, 2026",57,2,0.0012,0,25,0
OfHy4br_BNA,エコーで何がわかるの？#エコー検査 #超音波検査 #病院検査 #検査前 #医療知識 #血流 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 6, 2026",36,2,0.0067,0,12,16.67
UeyxDCFr3Sw,検査着に着替える理由#検査着#レントゲン#X線検査#放射線検査#検査前#医療知識#放射線技師#病院あるある#健康管理#保存推奨,"Jun 1, 2026",45,2,0.0013,0,18,5.56
dH3DzkYMGEM,検査が不安なとき、どこまで伝えていいの？#診療放射線技師 #放射線検査 #レントゲン検査 #CT検査 #MRI検査 #検査前 #検査が不安 #医療情報 #病院受診 #子どもの検査 #大人の検査,"Jul 14, 2026",57,2,0.0021,0,12,0
BebOppwi-Lw,説明が難しくて聞き返していいの？ #検査前の不安 #医療検査 #放射線検査 #CT検査 #MRI検査 #患者さんへ #診療放射線技師,"Jul 29, 2026",42,2,0.0025,0,9,0
C7Bdw_taUVE,CTは悪者？撮れば安心？大切なのは「目的」です。#CT検査 #放射線 #被ばく #医療知識 #健康リテラシー #検査 #画像検査 #病院 #医療の話 #医師に相談 #健康管理 #医療リテラシー,"May 20, 2026",31,2,0.0046,0,37,5.41
sEQXMAONuSU,手術後に何度もレントゲンを撮る理由#レントゲン #手術後 #術後 #骨折 #骨折治療 #診療放射線技師 #放射線検査 #医療知識 #患者さん向け #検査の不安 #病院 #医療情報 #保存推奨,"Jul 22, 2026",66,2,0.0121,0,8,0
nDDM0kBf-T4,動いてしまう子どもの検査、実際どうしてるの？#子どもの検査 #小児検査 #レントゲン #CT検査 #MRI検査 #検査の不安 #病院 #子育て #育児 #診療放射線技師 #医療 #医療従事者,"Jul 11, 2026",54,2,0.0053,0,42,2.38
xHyxEL7QilQ,車椅子の親、検査台への移動が不安な時　#車椅子 #付き添い #検査前の不安 #親の検査 #病院付き添い #放射線検査 #診療放射線技師,"Aug 19, 2026",53,1,0.0002,0,16,0
fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,1,0.0032,0,6,16.67
XMmjeQzv_BU,「異常なし」と言われた後、どうすればいい？　#異常なし #検査結果 #痛みが続く #レントゲン #医療相談 #患者さんの不安 #診療放射線技師,"Aug 23, 2026",57,1,0.0142,0,41,0
MTviviSD5Gg,レントゲンで再撮影になるのは失敗ですか？#レントゲン #X線検査 #再撮影 #放射線検査 #診療放射線技師 #検査の不安 #病院検査 #医療知識 #患者さん向け #検査前に知っておきたいこと,"Jul 5, 2026",68,1,0.0021,0,14,0
qkey5CrcNoM,MRI・CTの結果が後日になる理由#MRI#CT#画像検査#検査結果待ち#放射線科医#放射線技師#医療情報#検査の不安#病院#健康管理,"May 25, 2026",52,1,0.0008,0,33,0
tQ0vaLaXFLk,高齢者が転んだあと 痛みが軽くても検査する理由　#転倒 #高齢者 #骨折 #レントゲン #X線検査 #検査の不安 #診療放射線技師,"Aug 6, 2026",50,1,0.0027,0,8,0
Rx0cJ0WhmfY,紹介状やお薬手帳、なぜ検査前に確認するの？　#紹介状 #お薬手帳 #検査前 #医療の疑問 #患者さん向け #放射線検査 #診療放射線技師,"Aug 4, 2026",54,1,0.0004,,6,0
1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,1,0.0002,,8,0
_wJirzAxXho,高齢の親の検査付き添い、事前に準備しておきたいこと #検査付き添い #親の検査 #高齢の親 #検査前の不安 #医療検査 #病院付き添い #診療放射線技師,"Aug 12, 2026",50,1,0.0005,,13,0
3uaGjMkcFbU,同じ検査なのに撮り方が違う理由#診療放射線技師 #レントゲン #X線検査 #画像検査 #検査前の不安 #医療知識 #病院 #検査室 #患者さん向け #医療従事者 #放射線検査 #保存推奨,"Jul 18, 2026",68,1,0.0006,,20,0
ihD-yflBE84,結果を聞くとき、何を質問すればいいか#検査結果 #病院受診 #医師に聞くこと #検査の不安 #診療放射線技師 #CT検査 #MRI検査,"May 28, 2026",41,1,0.0001,0,7,0
zJ0TEpESQKw,CT検査前の絶食と水分制限はなぜ必要？#CT検査 #造影CT #検査前準備 #絶食 #水分制限 #薬の確認 #医療情報 #検査の不安 #診療放射線技師 #患者さん向け #医療解説,"Jun 29, 2026",73,1,0.001,0,17,0
JtwA78OWaew,レントゲンのあとCTを追加するのは、失敗だったから？　#レントゲン #CT検査 #骨折 #整形外科 #追加検査 #検査の不安 #患者さん向け #診療放射線技師,"Aug 7, 2026",56,1,0.0129,0,7,14.29
fdQ0S89tRvI,骨がくっついたかどうか、レントゲンだけでわかるの？#診療放射線技師 #レントゲン #X線写真 #骨折 #骨折治療 #骨折後 #仮骨 #CT検査 #医療知識 #検査の不安 #患者さん向け #放射線検査,"Jul 21, 2026",67,1,0.0017,0,5,0
8bQbSVD8pZQ,レントゲンで服のしわやボタンは写るの？#レントゲン #X線検査 #放射線検査 #診療放射線技師 #検査前 #検査の疑問 #医療知識 #病院検査 #健康診断 #患者さん向け,"Jul 6, 2026",55,1,0.0019,0,14,0
R-n1UQj9JvQ,「異常なし」なのに不安が消えない理由#診療放射線技師 #MRI検査 #CT検査 #検査結果 #異常なし #医療知識 #不安解消,"May 27, 2026",35,1,0.0042,0,10,10
ezt6YkvsZA0,検査に付き添う前に家族が知っておきたい3つのこと  #検査付き添い #家族の検査 #検査前の準備 #病院付き添い #医療の不安 #診療放射線技師 #検査前に知っておきたいこと,"Aug 10, 2026",48,1,0.0005,0,30,0
QzmHHOY84_g,立ち上がるのに時間がかかる時、急がなくて大丈夫です　#レントゲン検査 #検査室 #検査の不安 #患者さん向け #高齢者の検査 #医療従事者と患者さん #診療放射線技師,"Aug 23, 2026",48,1,0.0001,0,14,0
zXhuWjLaoew,高濃度乳房って病気なの？ マンモの結果が気になった方へ#マンモグラフィー #高濃度乳房 #乳がん検診 #乳がん検査 #乳腺エコー #検査結果 #病院検査 #診療放射線技師 #検査の不安 #安心解説,"Jun 9, 2026",38,1,0.0072,0,33,3.03
0tfJzioifck,再検査と言われたら、次はどの検査？#再検査 #CT検査 #MRI検査 #エコー検査 #超音波検査 #検査前 #病院 #医療知識 #放射線技師 #診療放射線技師,"Jun 1, 2026",43,1,0.0031,0,5,0
k9t-H7VjThQ,骨密度検査、何歳から受ければいい？#骨密度検査 #骨密度 #骨粗しょう症  #骨折予防 #閉経後 #女性の健康 #予防医療 #健康診断 #整形外科 #検査の不安 #診療放射線技師 #保存推奨,"Jun 21, 2026",64,1,0.0003,0,8,0
FhFULnBzOP4,ＣＴ検査,"May 9, 2026",28,1,0,0,11,0
7RWe3mF_GrE,胸部X線で何がわかるの？#胸部X線#レントゲン#胸のレントゲン#肺#心臓#肋骨#健診#検査前の不安#医療知識#診療放射線技師#放射線検査#病院#健康診断,"Jun 22, 2026",43,1,0.0003,0,25,0
xmPCjRJHdWU,検査前にアクセサリーを外すのはなぜ?#検査前 #アクセサリー #MRI検査 #CT検査 #レントゲン #画像検査 #診療放射線技師 #病院検査 #医療知識 #検査の不安 #患者さん向け #健康診断,"Jul 4, 2026",76,1,0.0133,0,14,0
M82RSRKsV_E,車椅子で検査へ行く時、家族が先に伝えると助かること　#車椅子 #検査前の不安 #付き添い家族 #高齢の親 #医療検査 #レントゲン検査 #CT検査 #診療放射線技師,"Aug 13, 2026",62,1,0.0002,0,23,0
c-YhHFPccVw,CTを撮ったのに、なぜMRIも必要なの？#CT検査 #MRI検査 #医療知識 #検査の不安 #画像検査 #診療放射線技師 #病院の検査 #検査前の不安 #医療をわかりやすく #安心して検査へ,"Jun 15, 2026",54,0,0,0,19,0
mlkNWVz1dI4,骨密度が低い＝すぐ骨折？ではありません#骨密度検査 #骨密度 #骨粗しょう症予防 #骨折予防 #DXA #健康診断 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 14, 2026",46,0,0,0,14,0
43EsE8xRmBM,検査当日の持ち物チェック#検査前の準備 #病院の持ち物 #放射線技師 #MRI検査 #CT検査 #医療知識 #検査当日 #保存推奨,"May 31, 2026",60,0,0,0,19,0
A3S6inCBrZ4,エコーは被ばくする？放射線を使わない検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #保存推奨,"Jun 5, 2026",46,0,0,0,19,0
Ff7Ib8ASbYE,「再検査」と言われたときに知っておいてほしいこと#再検査#検査結果#検査後の不安#病院あるある#医療の不安#CT検査#MRI検査#画像検査#診療放射線技師##健康診断#医療知識#不安解消#保存推奨,"May 26, 2026",44,0,0,0,7,0
JIJDZSx4ieU,一度骨折すると次の骨折にも注意が必要です#骨密度検査 #骨折予防 #骨折連鎖 #骨粗しょう症 #整形外科 #予防医療 #女性の健康 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 18, 2026",51,,,,3,0
b5xkAwZEHM8,エコーのゼリー、実は画像を見やすくするためです#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 3, 2026",47,,,,5,0
fY6zaGZqOHo,骨折後にまた検査？FLSのはなし#骨折#骨密度#骨密度検査#骨粗しょう症#骨折予防#FLS#骨折リエゾンサービス#股関節骨折#医療情報#検査の不安#診療放射線技師,"Jun 19, 2026",58,,,,6,0
oEllZfP-5OE,検査のたびに名前や生年月日を聞かれるのはなぜ？#診療放射線技師 #放射線検査 #CT検査 #MRI検査 #医療安全 #本人確認 #検査前確認 #病院あるある #患者さん向け #検査の不安 #医療知識,"Jul 19, 2026",52,,,,12,0
vZXlrY1xq-U,そのCT、本当に必要？#CT検査 #医療知識 #健康リテラシー #放射線 #検査 #病院 #医療の話 #放射線技師 #医療リテラシー #健康の知識,"May 17, 2026",34,,,,7,0
