コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
4szH2c2pfHE,造影剤の副作用やアレルギーが怖い方へ#造影剤 #造影CT #CT検査 #検査前の不安 #医療知識 #健康診断 #画像検査 #病院検査 #診療放射線技師 #不安を減らす医療情報,"Jun 30, 2026",80,20,0.2694,0,125,5.6
qr_fOqwZKPs,マンモの結果、何と書いてあったら受診が必要？#マンモグラフィー #乳がん検診 #乳がん検査 #検査結果 #要精密検査 #乳腺外科 #女性の健康 #医療情報 #検査の不安 #診療放射線技師 #安心解説,"Jun 17, 2026",60,17,0.0698,0,266,1.13
AUUfu1AyUas,MRIの音、壊れてるわけじゃありません#MRI検査#MRI#放射線技師#検査前の不安#医療知識#病院#健康情報#検査#医療#安心して検査,"May 23, 2026",52,16,0.0727,0,100,4
JD7DHcAXUiI,CT造影剤 体が熱くなるのは大丈夫?#CT検査 #造影CT #造影剤 #造影剤検査 #検査前の不安 #医療情報 #病院検査 #診療放射線技師 #患者さん向け #検査の不安解消 #CT造影剤 #保存推奨,"Jul 3, 2026",102,13,0.1193,0,138,2.9
lZ5mDgQYSmI,造影剤って何のために使うの？#CT検査 #造影CT #造影剤 #検査前の不安 #医療解説 #病院検査 #診療放射線技師 #健康診断 #検査の不安 #患者さん向け #放射線検査,"Jun 28, 2026",86,13,0.1965,0,129,5.43
q-8bDBq9O7A,なぜ息を吸って止めるの？#レントゲン #胸部レントゲン #胸部X線 #放射線検査 #診療放射線技師 #検査前の不安 #医療知識 #健康診断 #病院検査 #安心して検査,"Jun 24, 2026",61,13,0.0438,0,151,3.31
skFRoPNX4A8,CTって何分くらいかかるの？#CT検査 #単純CT #造影CT #検査時間 #検査の不安 #医療知識 #病院検査 #診療放射線技師 #検査前に知っておきたい #患者さん向け #医療情報 #不安解消,"Jul 2, 2026",112,13,0.1564,0,224,2.23
T1L_9OLXHdE,マンモで要精密検査、次に何をする？#マンモグラフィ#マンモ#乳がん検診#要精密検査#乳腺外来#乳腺外科#乳腺エコー#検診結果#健康診断#医療知識#検査の不安#患者さん向け#医療系リール,"Jun 27, 2026",49,12,0.0802,0,181,2.76
yCoseKNslvc,検査中に動いてしまった、大丈夫？#レントゲン #CT検査 #放射線検査 #検査前の不安 #医療知識 #病院あるある #患者さんへ #診療放射線技師 #検査の疑問 #健康診断,"Jul 8, 2026",53,11,0.0389,0,88,4.55
AOsJBz9s3nY,レントゲンとCTって何が違うの?#レントゲン #CT検査 #画像検査 #診療放射線技師 #医療知識 #検査前の不安 #病院 #健康診断,"Jun 25, 2026",59,10,0.0428,0,57,5.26
zDz8Oj91GRE,造影CTの前に、家族が確認したい3つ#造影CT #造影剤 #CT検査 #医療知識 #健康リテラシー #放射線技師 #病院 #検査 #医療の話 #ヘルスリテラシー,"May 21, 2026",37,8,0.0194,0,51,5.88
kiV9LttK6vk,お腹が痛いのに、なぜ胸のレントゲン？#胸部X線#レントゲン#腹痛#検査の理由#病院の検査#診療放射線技師#医療知識#検査前の不安#患者さん向け,"Jun 23, 2026",63,8,0.0542,0,118,1.69
xmPCjRJHdWU,検査前にアクセサリーを外すのはなぜ?#検査前 #アクセサリー #MRI検査 #CT検査 #レントゲン #画像検査 #診療放射線技師 #病院検査 #医療知識 #検査の不安 #患者さん向け #健康診断,"Jul 4, 2026",76,7,0.0752,0,38,2.63
NK4qSW_UXEo,骨密度の結果、YAM70%って何？#骨密度検査 #YAM #骨粗しょう症 #骨量減少 #整形外科 #健康診断 #検査結果 #診療放射線技師 #医療知識 #保存推奨,"Jun 20, 2026",70,7,0.0552,0,43,2.33
YMCA_PsbXY4,マンモグラフィーで胸を圧迫するのはなぜ？大切な理由があります#マンモグラフィー #乳がん検診 #乳がん検査 #検査前 #病院検査 #医療知識 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 7, 2026",41,6,0.0305,0,68,2.94
b5xkAwZEHM8,エコーのゼリー、実は画像を見やすくするためです#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 3, 2026",47,6,0.0067,0,24,0
dhxxEemmfIk,骨密度検査、かかとで測るの？腰で測るの？#骨密度検査 #DXA法 #骨粗しょう症予防 #健康診断 #診療放射線技師 #検査の不安を安心に #医療知識 #骨の健康,"Jun 12, 2026",51,6,0.0505,0,48,4.17
MTviviSD5Gg,レントゲンで再撮影になるのは失敗ですか？#レントゲン #X線検査 #再撮影 #放射線検査 #診療放射線技師 #検査の不安 #病院検査 #医療知識 #患者さん向け #検査前に知っておきたいこと,"Jul 5, 2026",68,5,0.036,0,122,1.64
Abq4eQGVeGM,エコー検査、痛い？怖い？我慢しなくて大丈夫です#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 4, 2026",46,5,0.0457,0,27,7.41
pbFaB3s2A3c,MRI前の金属チェック、なぜ聞かれる？#MRI #MRI検査 #金属チェック #放射線技師 #診療放射線技師 #検査前 #医療知識 #医療雑学 #不安解消,"May 22, 2026",43,5,0.0041,0,38,0
Xslt2TVY6Dc,抱っこしたまま検査に付き添っても大丈夫？#レントゲン #小児検査 #子どもの検査 #付き添い検査 #医療情報 #診療放射線技師 #検査の不安 #子育て #育児 #病院付き添い,"Jul 9, 2026",55,4,0.0186,0,26,7.69
M2b9EXtwSZI,え、温泉でも放射線浴びてるの？#診療放射線技師 #放射線 #ラドン温泉 #ラジウム温泉 #温泉 #医療雑学 #自然放射線 #安心ラボ,"May 15, 2026",36,4,0.0223,0,44,6.82
0tfJzioifck,再検査と言われたら、次はどの検査？#再検査 #CT検査 #MRI検査 #エコー検査 #超音波検査 #検査前 #病院 #医療知識 #放射線技師 #診療放射線技師,"Jun 1, 2026",43,4,0.0219,0,33,6.06
y_bN4gYAbOA,MRI室に車椅子を持ち込むとどうなる？#MRI #MRI検査 #放射線技師 #診療放射線技師 #検査前 #金属チェック #医療知識 #医療雑学 #不安解消,"May 22, 2026",55,3,0.0028,0,23,4.35
F-cvsMA6nuQ,腎機能が低下していると、造影剤は使えないの？#造影CT #造影剤 #CT検査 #腎機能 #透析 #医療検査 #検査の不安 #診療放射線技師 #病院検査 #医療知識,"Jul 1, 2026",104,2,0.0216,0,59,1.69
7RWe3mF_GrE,胸部X線で何がわかるの？#胸部X線#レントゲン#胸のレントゲン#肺#心臓#肋骨#健診#検査前の不安#医療知識#診療放射線技師#放射線検査#病院#健康診断,"Jun 22, 2026",43,2,0.0232,0,51,3.92
c-YhHFPccVw,CTを撮ったのに、なぜMRIも必要なの？#CT検査 #MRI検査 #医療知識 #検査の不安 #画像検査 #診療放射線技師 #病院の検査 #検査前の不安 #医療をわかりやすく #安心して検査へ,"Jun 15, 2026",54,2,0.0093,0,16,0
09YwOnxH3BY,MRI検査前に必ず知っておいてほしいこと#MRI #MRI検査 #検査前の不安 #ペースメーカー #人工内耳 #医療情報 #放射線技師 #患者さん向け #病院検査 #検査の豆知識,"May 24, 2026",55,2,0.0007,0,13,0
suG27BPKF9g,乳がん検診、何歳から受ければいいの？#乳がん検診 #マンモグラフィ #乳がん #乳腺外科 #婦人科 #検診 #健康診断 #女性の健康 #30.40代女性 #医療情報 #検査の不安 #診療放射線技師,"Jun 16, 2026",57,1,0.0003,0,53,0
DE6f2MR9Mss,救急でCT？命を守るために必要なことも#CT検査 #救急医療 #外傷 #全身CT #放射線 #医療知識 #健康リテラシー #検査 #病院 #医療の話,"May 18, 2026",34,1,0.0011,0,12,0
JIJDZSx4ieU,一度骨折すると次の骨折にも注意が必要です#骨密度検査 #骨折予防 #骨折連鎖 #骨粗しょう症 #整形外科 #予防医療 #女性の健康 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 18, 2026",51,1,0.0001,0,3,0
R-n1UQj9JvQ,「異常なし」なのに不安が消えない理由#診療放射線技師 #MRI検査 #CT検査 #検査結果 #異常なし #医療知識 #不安解消,"May 27, 2026",35,1,0.0005,0,5,0
KFUL5Xln05M,DXA法って何？なぜ腰と太ももの付け根で測るの？#骨密度検査  #DXA法 #できさ #骨粗しょう症 #健康診断 #診療放射線技師 #検査の不安 #医療解説 #女性の健康 #健診 #安心して検査,"Jun 13, 2026",60,1,0.0006,0,36,2.78
Gk5NRgqUMZQ,自然放射線量は地域で違うって知ってた？,"May 13, 2026",37,1,0.0086,0,5,20
fY6zaGZqOHo,骨折後にまた検査？FLSのはなし#骨折#骨密度#骨密度検査#骨粗しょう症#骨折予防#FLS#骨折リエゾンサービス#股関節骨折#医療情報#検査の不安#診療放射線技師,"Jun 19, 2026",58,1,0.0039,0,5,0
uaBaEmqfmzE,CTとMRI、同じ検査じゃない#CT検査 #MRI検査 #放射線技師 #医療知識 #検査前に知っておきたい #放射線技師の安心ラボ,"May 21, 2026",44,1,0.0026,0,17,0
C7Bdw_taUVE,CTは悪者？撮れば安心？大切なのは「目的」です。#CT検査 #放射線 #被ばく #医療知識 #健康リテラシー #検査 #画像検査 #病院 #医療の話 #医師に相談 #健康管理 #医療リテラシー,"May 20, 2026",31,1,0.0037,0,11,9.09
 -nyM6wTIpv4,高濃度乳房ならエコー？検査の選び方は人によって違います#マンモグラフィー #高濃度乳房 #乳腺エコー #乳がん検診 #乳がん検査 #検査結果 #病院検査 #診療放射線技師 #検査の不安#保存推奨,"Jun 10, 2026",47,1,0.0048,0,60,0
qkey5CrcNoM,MRI・CTの結果が後日になる理由#MRI#CT#画像検査#検査結果待ち#放射線科医#放射線技師#医療情報#検査の不安#病院#健康管理,"May 25, 2026",52,1,0.0008,0,16,0
8bQbSVD8pZQ,レントゲンで服のしわやボタンは写るの？#レントゲン #X線検査 #放射線検査 #診療放射線技師 #検査前 #検査の疑問 #医療知識 #病院検査 #健康診断 #患者さん向け,"Jul 6, 2026",55,0,0,,59,0
zJ0TEpESQKw,CT検査前の絶食と水分制限はなぜ必要？#CT検査 #造影CT #検査前準備 #絶食 #水分制限 #薬の確認 #医療情報 #検査の不安 #診療放射線技師 #患者さん向け #医療解説,"Jun 29, 2026",73,0,0,,35,0
vZXlrY1xq-U,そのCT、本当に必要？#CT検査 #医療知識 #健康リテラシー #放射線 #検査 #病院 #医療の話 #放射線技師 #医療リテラシー #健康の知識,"May 17, 2026",34,,,,3,0
PE0k4sFEefk,検査前の絶食、なんで必要？#検査前 #絶食 #CT検査 #造影CT #エコー検査 #放射線技師 #診療放射線技師 #医療知識 #検査の不安 #不安解消,"May 30, 2026",62,,,,11,0
zXhuWjLaoew,高濃度乳房って病気なの？ マンモの結果が気になった方へ#マンモグラフィー #高濃度乳房 #乳がん検診 #乳がん検査 #乳腺エコー #検査結果 #病院検査 #診療放射線技師 #検査の不安 #安心解説,"Jun 9, 2026",38,,,,37,0
43EsE8xRmBM,検査当日の持ち物チェック#検査前の準備 #病院の持ち物 #放射線技師 #MRI検査 #CT検査 #医療知識 #検査当日 #保存推奨,"May 31, 2026",60,,,,2,0
OfHy4br_BNA,エコーで何がわかるの？#エコー検査 #超音波検査 #病院検査 #検査前 #医療知識 #血流 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 6, 2026",36,,,,22,0
mlkNWVz1dI4,骨密度が低い＝すぐ骨折？ではありません#骨密度検査 #骨密度 #骨粗しょう症予防 #骨折予防 #DXA #健康診断 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 14, 2026",46,,,,8,0
ECyOLRqIiAs,レントゲン１回って危険？,"May 9, 2026",24,,,,7,0
qLjkXUbK-tk,レントゲン前の湿布、写ることがあります #Shorts#診療放射線技師#レントゲン#レントゲン検査#医療雑学#病院の豆知識#検査前#湿布#カイロ#健康情報,"May 16, 2026",39,,,,2,0
fRdBecey4kU,エコーって被ばくする？実は放射線ゼロの検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #放射線技師 #検査の不安 #保存推奨,"Jun 2, 2026",52,,,,11,0
 -srnUvQ8rs0,健診で、かかとに音波を当てるのはなぜ？#骨密度検査 #骨密度 #骨粗鬆症予防 #健診 #健康診断 #かかと検査 #超音波検査 #女性の健康 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 11, 2026",41,,,,5,0
AO4RJNu-GuU,マンモと乳腺エコー、どっちがいい？ 得意なことが違います#マンモグラフィー #乳腺エコー #乳がん検診 #乳がん検査 #検査前 #病院検査 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 8, 2026",38,,,,52,0
A3S6inCBrZ4,エコーは被ばくする？放射線を使わない検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #保存推奨,"Jun 5, 2026",46,,,,15,0
eMQqu-Jns6w,明日検査の人、前日はこれだけ確認#検査前#検査前日#検査準備#放射線技師#病院検査#CT検査#MRI検査#健康診断#医療#医療知識#患者さん向け#不安解消#お薬手帳#検査の不安#保存推奨,"May 29, 2026",54,,,,1,0
FhFULnBzOP4,ＣＴ検査,"May 9, 2026",28,,,,3,0
k9t-H7VjThQ,骨密度検査、何歳から受ければいい？#骨密度検査 #骨密度 #骨粗しょう症  #骨折予防 #閉経後 #女性の健康 #予防医療 #健康診断 #整形外科 #検査の不安 #診療放射線技師 #保存推奨,"Jun 21, 2026",64,,,,12,0
Ff7Ib8ASbYE,「再検査」と言われたときに知っておいてほしいこと#再検査#検査結果#検査後の不安#病院あるある#医療の不安#CT検査#MRI検査#画像検査#診療放射線技師##健康診断#医療知識#不安解消#保存推奨,"May 26, 2026",44,,,,2,0
UeyxDCFr3Sw,検査着に着替える理由#検査着#レントゲン#X線検査#放射線検査#検査前#医療知識#放射線技師#病院あるある#健康管理#保存推奨,"Jun 1, 2026",45,,,,15,0
bdnyc883dDk,足の手術なのに、なぜ胸の検査もするの？#手術前検査 #胸部X線 #胸のレントゲン #レントゲン #麻酔前検査 #術前検査 #病院の検査 #検査前の不安 #医療知識 #患者さん向け #診療放射線技師,"Jun 26, 2026",71,,,,43,0
