コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,平均視聴時間,インプレッション数,インプレッションのクリック率 (%)
R-n1UQj9JvQ,「異常なし」なのに不安が消えない理由#診療放射線技師 #MRI検査 #CT検査 #検査結果 #異常なし #医療知識 #不安解消,"May 27, 2026",35,1,0.003,0,0:00:10,14,7.14
bdnyc883dDk,足の手術なのに、なぜ胸の検査もするの？#手術前検査 #胸部X線 #胸のレントゲン #レントゲン #麻酔前検査 #術前検査 #病院の検査 #検査前の不安 #医療知識 #患者さん向け #診療放射線技師,"Jun 26, 2026",71,1,0.0047,0,0:00:17,153,0
OfHy4br_BNA,エコーで何がわかるの？#エコー検査 #超音波検査 #病院検査 #検査前 #医療知識 #血流 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 6, 2026",36,1,0.0083,0,0:00:30,20,5
AO4RJNu-GuU,マンモと乳腺エコー、どっちがいい？ 得意なことが違います#マンモグラフィー #乳腺エコー #乳がん検診 #乳がん検査 #検査前 #病院検査 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 8, 2026",38,1,0.0045,0,0:00:16,45,0
A3S6inCBrZ4,エコーは被ばくする？放射線を使わない検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #保存推奨,"Jun 5, 2026",46,1,0.0082,0,0:00:29,29,3.45
UeyxDCFr3Sw,検査着に着替える理由#検査着#レントゲン#X線検査#放射線検査#検査前#医療知識#放射線技師#病院あるある#健康管理#保存推奨,"Jun 1, 2026",45,1,0.0094,0,0:00:33,18,0
C7Bdw_taUVE,CTは悪者？撮れば安心？大切なのは「目的」です。#CT検査 #放射線 #被ばく #医療知識 #健康リテラシー #検査 #画像検査 #病院 #医療の話 #医師に相談 #健康管理 #医療リテラシー,"May 20, 2026",31,1,0.0013,0,0:00:04,31,0
fY6zaGZqOHo,骨折後にまた検査？FLSのはなし#骨折#骨密度#骨密度検査#骨粗しょう症#骨折予防#FLS#骨折リエゾンサービス#股関節骨折#医療情報#検査の不安#診療放射線技師,"Jun 19, 2026",58,1,0.0006,0,,18,0
JIJDZSx4ieU,一度骨折すると次の骨折にも注意が必要です#骨密度検査 #骨折予防 #骨折連鎖 #骨粗しょう症 #整形外科 #予防医療 #女性の健康 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 18, 2026",51,0,0,,,13,0
y_bN4gYAbOA,MRI室に車椅子を持ち込むとどうなる？#MRI #MRI検査 #放射線技師 #診療放射線技師 #検査前 #金属チェック #医療知識 #医療雑学 #不安解消,"May 22, 2026",55,0,0,,,29,0
FhFULnBzOP4,ＣＴ検査,"May 9, 2026",28,,,,,6,0
09YwOnxH3BY,MRI検査前に必ず知っておいてほしいこと#MRI #MRI検査 #検査前の不安 #ペースメーカー #人工内耳 #医療情報 #放射線技師 #患者さん向け #病院検査 #検査の豆知識,"May 24, 2026",55,,,,,20,0
pbFaB3s2A3c,MRI前の金属チェック、なぜ聞かれる？#MRI #MRI検査 #金属チェック #放射線技師 #診療放射線技師 #検査前 #医療知識 #医療雑学 #不安解消,"May 22, 2026",43,,,,,20,0
ihD-yflBE84,結果を聞くとき、何を質問すればいいか#検査結果 #病院受診 #医師に聞くこと #検査の不安 #診療放射線技師 #CT検査 #MRI検査,"May 28, 2026",41,,,,,3,0
vZXlrY1xq-U,そのCT、本当に必要？#CT検査 #医療知識 #健康リテラシー #放射線 #検査 #病院 #医療の話 #放射線技師 #医療リテラシー #健康の知識,"May 17, 2026",34,,,,,5,0
PE0k4sFEefk,検査前の絶食、なんで必要？#検査前 #絶食 #CT検査 #造影CT #エコー検査 #放射線技師 #診療放射線技師 #医療知識 #検査の不安 #不安解消,"May 30, 2026",62,,,,,13,0
zXhuWjLaoew,高濃度乳房って病気なの？ マンモの結果が気になった方へ#マンモグラフィー #高濃度乳房 #乳がん検診 #乳がん検査 #乳腺エコー #検査結果 #病院検査 #診療放射線技師 #検査の不安 #安心解説,"Jun 9, 2026",38,,,,,36,0
qLjkXUbK-tk,レントゲン前の湿布、写ることがあります #Shorts#診療放射線技師#レントゲン#レントゲン検査#医療雑学#病院の豆知識#検査前#湿布#カイロ#健康情報,"May 16, 2026",39,,,,,5,0
ECyOLRqIiAs,レントゲン１回って危険？,"May 9, 2026",24,,,,,3,0
Gk5NRgqUMZQ,自然放射線量は地域で違うって知ってた？,"May 13, 2026",37,,,,,8,0
eMQqu-Jns6w,明日検査の人、前日はこれだけ確認#検査前#検査前日#検査準備#放射線技師#病院検査#CT検査#MRI検査#健康診断#医療#医療知識#患者さん向け#不安解消#お薬手帳#検査の不安#保存推奨,"May 29, 2026",54,,,,,7,0
Ff7Ib8ASbYE,「再検査」と言われたときに知っておいてほしいこと#再検査#検査結果#検査後の不安#病院あるある#医療の不安#CT検査#MRI検査#画像検査#診療放射線技師##健康診断#医療知識#不安解消#保存推奨,"May 26, 2026",44,,,,,7,0
