コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
09YwOnxH3BY,MRI検査前に必ず知っておいてほしいこと#MRI #MRI検査 #検査前の不安 #ペースメーカー #人工内耳 #医療情報 #放射線技師 #患者さん向け #病院検査 #検査の豆知識,"May 24, 2026",55,18,0.1026,0,162,4.32
4szH2c2pfHE,造影剤の副作用やアレルギーが怖い方へ#造影剤 #造影CT #CT検査 #検査前の不安 #医療知識 #健康診断 #画像検査 #病院検査 #診療放射線技師 #不安を減らす医療情報,"Jun 30, 2026",80,17,0.0932,0,192,5.21
JD7DHcAXUiI,CT造影剤 体が熱くなるのは大丈夫?#CT検査 #造影CT #造影剤 #造影剤検査 #検査前の不安 #医療情報 #病院検査 #診療放射線技師 #患者さん向け #検査の不安解消 #CT造影剤 #保存推奨,"Jul 3, 2026",102,14,0.1756,1,117,4.27
zDz8Oj91GRE,造影CTの前に、家族が確認したい3つ#造影CT #造影剤 #CT検査 #医療知識 #健康リテラシー #放射線技師 #病院 #検査 #医療の話 #ヘルスリテラシー,"May 21, 2026",37,12,0.044,0,112,5.36
taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,10,0.0488,0,104,2.88
0QMhezmENcQ,胸のレントゲン、肺だけ見ていると思っていませんか？#レントゲン #胸部レントゲン #胸部X線 #診療放射線技師 #放射線検査 #医療知識 #検査の疑問 #健康診断 #心臓 #肺 #CT #医療系リール,"Jul 7, 2026",53,9,0.0287,0,66,1.52
fdQ0S89tRvI,骨がくっついたかどうか、レントゲンだけでわかるの？#診療放射線技師 #レントゲン #X線写真 #骨折 #骨折治療 #骨折後 #仮骨 #CT検査 #医療知識 #検査の不安 #患者さん向け #放射線検査,"Jul 21, 2026",67,9,1.2085,0,72,1.39
pPExvp0TwAc,検査中にトイレへ行きたくなったら、言って大丈夫です　#MRI検査 #CT検査 #検査前の不安 #トイレ問題 #医療検査 #患者さん向け #診療放射線技師,"Jul 27, 2026",55,8,0.0316,0,69,1.45
BebOppwi-Lw,説明が難しくて聞き返していいの？ #検査前の不安 #医療検査 #放射線検査 #CT検査 #MRI検査 #患者さんへ #診療放射線技師,"Jul 29, 2026",42,8,0.0208,0,17,0
NK4qSW_UXEo,骨密度の結果、YAM70%って何？#骨密度検査 #YAM #骨粗しょう症 #骨量減少 #整形外科 #健康診断 #検査結果 #診療放射線技師 #医療知識 #保存推奨,"Jun 20, 2026",70,8,0.0387,0,26,7.69
3uaGjMkcFbU,同じ検査なのに撮り方が違う理由#診療放射線技師 #レントゲン #X線検査 #画像検査 #検査前の不安 #医療知識 #病院 #検査室 #患者さん向け #医療従事者 #放射線検査 #保存推奨,"Jul 18, 2026",68,8,0.012,0,77,2.6
7RWe3mF_GrE,胸部X線で何がわかるの？#胸部X線#レントゲン#胸のレントゲン#肺#心臓#肋骨#健診#検査前の不安#医療知識#診療放射線技師#放射線検査#病院#健康診断,"Jun 22, 2026",43,6,0.0289,0,64,1.56
wrc9hsjrqx8,小さいヒビ、レントゲンで見逃すことがあるの？#レントゲン #X線写真 #骨折 #ヒビ #手首の痛み #検査結果 #再検査 #医療知識 #診療放射線技師 #放射線検査  #患者さん向け  #安心して検査,"Jul 23, 2026",66,6,0.0271,0,63,3.17
 -nyM6wTIpv4,高濃度乳房ならエコー？検査の選び方は人によって違います#マンモグラフィー #高濃度乳房 #乳腺エコー #乳がん検診 #乳がん検査 #検査結果 #病院検査 #診療放射線技師 #検査の不安#保存推奨,"Jun 10, 2026",47,6,0.027,0,71,1.41
y_bN4gYAbOA,MRI室に車椅子を持ち込むとどうなる？#MRI #MRI検査 #放射線技師 #診療放射線技師 #検査前 #金属チェック #医療知識 #医療雑学 #不安解消,"May 22, 2026",55,5,0.0053,0,55,1.82
M2b9EXtwSZI,え、温泉でも放射線浴びてるの？#診療放射線技師 #放射線 #ラドン温泉 #ラジウム温泉 #温泉 #医療雑学 #自然放射線 #安心ラボ,"May 15, 2026",36,5,0.0202,0,34,2.94
c-YhHFPccVw,CTを撮ったのに、なぜMRIも必要なの？#CT検査 #MRI検査 #医療知識 #検査の不安 #画像検査 #診療放射線技師 #病院の検査 #検査前の不安 #医療をわかりやすく #安心して検査へ,"Jun 15, 2026",54,4,0.0396,0,60,1.67
YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,4,0.0363,0,45,6.67
skFRoPNX4A8,CTって何分くらいかかるの？#CT検査 #単純CT #造影CT #検査時間 #検査の不安 #医療知識 #病院検査 #診療放射線技師 #検査前に知っておきたい #患者さん向け #医療情報 #不安解消,"Jul 2, 2026",112,4,0.0232,0,50,2
8bQbSVD8pZQ,レントゲンで服のしわやボタンは写るの？#レントゲン #X線検査 #放射線検査 #診療放射線技師 #検査前 #検査の疑問 #医療知識 #病院検査 #健康診断 #患者さん向け,"Jul 6, 2026",55,4,0.0262,0,17,11.76
AOsJBz9s3nY,レントゲンとCTって何が違うの?#レントゲン #CT検査 #画像検査 #診療放射線技師 #医療知識 #検査前の不安 #病院 #健康診断,"Jun 25, 2026",59,4,0.0446,0,40,2.5
LLT3ZuuCYKg,ギプスのままレントゲンは撮れるの？#レントゲン #X線検査 #ギプス #骨折 #整形外科 #検査の不安 #医療知識 #診療放射線技師 #病院検査 #健康情報,"Jul 20, 2026",60,3,0.0078,0,51,1.96
suG27BPKF9g,乳がん検診、何歳から受ければいいの？#乳がん検診 #マンモグラフィ #乳がん #乳腺外科 #婦人科 #検診 #健康診断 #女性の健康 #30.40代女性 #医療情報 #検査の不安 #診療放射線技師,"Jun 16, 2026",57,3,0.0066,0,68,2.94
 -srnUvQ8rs0,健診で、かかとに音波を当てるのはなぜ？#骨密度検査 #骨密度 #骨粗鬆症予防 #健診 #健康診断 #かかと検査 #超音波検査 #女性の健康 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 11, 2026",41,3,0.0187,0,21,9.52
C7Bdw_taUVE,CTは悪者？撮れば安心？大切なのは「目的」です。#CT検査 #放射線 #被ばく #医療知識 #健康リテラシー #検査 #画像検査 #病院 #医療の話 #医師に相談 #健康管理 #医療リテラシー,"May 20, 2026",31,3,0.0009,0,21,0
AO4RJNu-GuU,マンモと乳腺エコー、どっちがいい？ 得意なことが違います#マンモグラフィー #乳腺エコー #乳がん検診 #乳がん検査 #検査前 #病院検査 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 8, 2026",38,3,0.0025,0,45,2.22
vmSq6QQOkLo,泣いている子、無理やり撮影するの？#診療放射線技師 #レントゲン #小児レントゲン #子どもの検査 #病院付き添い #検査の不安 #医療の豆知識 #子育てママ #子育てパパ #育児の不安 #保存推奨,"Jul 10, 2026",54,3,0.003,0,29,3.45
qkey5CrcNoM,MRI・CTの結果が後日になる理由#MRI#CT#画像検査#検査結果待ち#放射線科医#放射線技師#医療情報#検査の不安#病院#健康管理,"May 25, 2026",52,3,0.0039,0,29,0
F-cvsMA6nuQ,腎機能が低下していると、造影剤は使えないの？#造影CT #造影剤 #CT検査 #腎機能 #透析 #医療検査 #検査の不安 #診療放射線技師 #病院検査 #医療知識,"Jul 1, 2026",104,3,0.0042,0,28,3.57
yCoseKNslvc,検査中に動いてしまった、大丈夫？#レントゲン #CT検査 #放射線検査 #検査前の不安 #医療知識 #病院あるある #患者さんへ #診療放射線技師 #検査の疑問 #健康診断,"Jul 8, 2026",53,2,0.0051,,18,0
Hafx67_MD-U,妊娠しているかも…検査前に言って大丈夫？#妊娠の可能性 #レントゲン検査 #CT検査 #検査前の不安 #病院あるある #医療知識 #診療放射線技師,"Jul 26, 2026",53,2,0.0004,0,15,0
fRdBecey4kU,エコーって被ばくする？実は放射線ゼロの検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #放射線技師 #検査の不安 #保存推奨,"Jun 2, 2026",52,2,0.0031,0,24,0
xmPCjRJHdWU,検査前にアクセサリーを外すのはなぜ?#検査前 #アクセサリー #MRI検査 #CT検査 #レントゲン #画像検査 #診療放射線技師 #病院検査 #医療知識 #検査の不安 #患者さん向け #健康診断,"Jul 4, 2026",76,2,0.0036,0,45,2.22
Gk5NRgqUMZQ,自然放射線量は地域で違うって知ってた？,"May 13, 2026",37,2,0.0106,0,8,12.5
pbFaB3s2A3c,MRI前の金属チェック、なぜ聞かれる？#MRI #MRI検査 #金属チェック #放射線技師 #診療放射線技師 #検査前 #医療知識 #医療雑学 #不安解消,"May 22, 2026",43,2,0.0006,0,37,0
FhFULnBzOP4,ＣＴ検査,"May 9, 2026",28,2,0.0081,0,5,20
uaBaEmqfmzE,CTとMRI、同じ検査じゃない#CT検査 #MRI検査 #放射線技師 #医療知識 #検査前に知っておきたい #放射線技師の安心ラボ,"May 21, 2026",44,2,0.0076,0,9,0
0tfJzioifck,再検査と言われたら、次はどの検査？#再検査 #CT検査 #MRI検査 #エコー検査 #超音波検査 #検査前 #病院 #医療知識 #放射線技師 #診療放射線技師,"Jun 1, 2026",43,2,0.021,0,20,5
vZXlrY1xq-U,そのCT、本当に必要？#CT検査 #医療知識 #健康リテラシー #放射線 #検査 #病院 #医療の話 #放射線技師 #医療リテラシー #健康の知識,"May 17, 2026",34,2,0.0106,0,11,0
MTviviSD5Gg,レントゲンで再撮影になるのは失敗ですか？#レントゲン #X線検査 #再撮影 #放射線検査 #診療放射線技師 #検査の不安 #病院検査 #医療知識 #患者さん向け #検査前に知っておきたいこと,"Jul 5, 2026",68,2,0.0021,0,64,1.56
b5xkAwZEHM8,エコーのゼリー、実は画像を見やすくするためです#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 3, 2026",47,2,0.0044,0,34,2.94
eMQqu-Jns6w,明日検査の人、前日はこれだけ確認#検査前#検査前日#検査準備#放射線技師#病院検査#CT検査#MRI検査#健康診断#医療#医療知識#患者さん向け#不安解消#お薬手帳#検査の不安#保存推奨,"May 29, 2026",54,2,0.0094,0,5,0
ihD-yflBE84,結果を聞くとき、何を質問すればいいか#検査結果 #病院受診 #医師に聞くこと #検査の不安 #診療放射線技師 #CT検査 #MRI検査,"May 28, 2026",41,2,0.0008,0,7,0
zJ0TEpESQKw,CT検査前の絶食と水分制限はなぜ必要？#CT検査 #造影CT #検査前準備 #絶食 #水分制限 #薬の確認 #医療情報 #検査の不安 #診療放射線技師 #患者さん向け #医療解説,"Jun 29, 2026",73,2,0.0203,,27,3.7
nXHYAiXBru0,検査中に気分が悪くなったら、我慢しなくて大丈夫です#検査 #CT検査 #造影CT #放射線検査 #医療 #病院 #診療放射線技師 #検査の不安 #体調不良 #医療従事者 #健康管理 #患者さん向け,"Jul 15, 2026",63,2,0.0027,0,35,0
YMCA_PsbXY4,マンモグラフィーで胸を圧迫するのはなぜ？大切な理由があります#マンモグラフィー #乳がん検診 #乳がん検査 #検査前 #病院検査 #医療知識 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 7, 2026",41,2,0.003,0,64,0
zXhuWjLaoew,高濃度乳房って病気なの？ マンモの結果が気になった方へ#マンモグラフィー #高濃度乳房 #乳がん検診 #乳がん検査 #乳腺エコー #検査結果 #病院検査 #診療放射線技師 #検査の不安 #安心解説,"Jun 9, 2026",38,1,0.0005,0,30,0
KFUL5Xln05M,DXA法って何？なぜ腰と太ももの付け根で測るの？#骨密度検査  #DXA法 #できさ #骨粗しょう症 #健康診断 #診療放射線技師 #検査の不安 #医療解説 #女性の健康 #健診 #安心して検査,"Jun 13, 2026",60,1,0.0118,0,24,0
dH3DzkYMGEM,検査が不安なとき、どこまで伝えていいの？#診療放射線技師 #放射線検査 #レントゲン検査 #CT検査 #MRI検査 #検査前 #検査が不安 #医療情報 #病院受診 #子どもの検査 #大人の検査,"Jul 14, 2026",57,1,0.0157,0,26,3.85
qLjkXUbK-tk,レントゲン前の湿布、写ることがあります #Shorts#診療放射線技師#レントゲン#レントゲン検査#医療雑学#病院の豆知識#検査前#湿布#カイロ#健康情報,"May 16, 2026",39,1,0.0003,0,10,0
bdnyc883dDk,足の手術なのに、なぜ胸の検査もするの？#手術前検査 #胸部X線 #胸のレントゲン #レントゲン #麻酔前検査 #術前検査 #病院の検査 #検査前の不安 #医療知識 #患者さん向け #診療放射線技師,"Jun 26, 2026",71,1,0.0015,,16,0
fY6zaGZqOHo,骨折後にまた検査？FLSのはなし#骨折#骨密度#骨密度検査#骨粗しょう症#骨折予防#FLS#骨折リエゾンサービス#股関節骨折#医療情報#検査の不安#診療放射線技師,"Jun 19, 2026",58,1,0.0005,0,19,5.26
q-8bDBq9O7A,なぜ息を吸って止めるの？#レントゲン #胸部レントゲン #胸部X線 #放射線検査 #診療放射線技師 #検査前の不安 #医療知識 #健康診断 #病院検査 #安心して検査,"Jun 24, 2026",61,1,0.0001,0,36,2.78
DE6f2MR9Mss,救急でCT？命を守るために必要なことも#CT検査 #救急医療 #外傷 #全身CT #放射線 #医療知識 #健康リテラシー #検査 #病院 #医療の話,"May 18, 2026",34,1,0.0002,0,16,0
Ff7Ib8ASbYE,「再検査」と言われたときに知っておいてほしいこと#再検査#検査結果#検査後の不安#病院あるある#医療の不安#CT検査#MRI検査#画像検査#診療放射線技師##健康診断#医療知識#不安解消#保存推奨,"May 26, 2026",44,1,0.0003,0,6,0
Abq4eQGVeGM,エコー検査、痛い？怖い？我慢しなくて大丈夫です#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 4, 2026",46,1,0.0062,0,19,5.26
 -zjp7Kqq-xU,レントゲンって、実は人の名前だった？#レントゲン #X線写真 #X線検査 #医療豆知識 #検査の豆知識 #放射線検査 #診療放射線技師,"Jul 25, 2026",82,1,0.0006,0,43,0
WkXTl-K7UH8,高齢の方の骨折、レントゲンだけで手術が決まるの？#骨折 #レントゲン #整形外科 #高齢者の骨折 #手術前 #CT検査 #診療放射線技師,"Jul 24, 2026",58,1,0.0003,,24,0
kiV9LttK6vk,お腹が痛いのに、なぜ胸のレントゲン？#胸部X線#レントゲン#腹痛#検査の理由#病院の検査#診療放射線技師#医療知識#検査前の不安#患者さん向け,"Jun 23, 2026",63,1,0.006,0,19,5.26
R-n1UQj9JvQ,「異常なし」なのに不安が消えない理由#診療放射線技師 #MRI検査 #CT検査 #検査結果 #異常なし #医療知識 #不安解消,"May 27, 2026",35,1,0.0001,0,12,0
PE0k4sFEefk,検査前の絶食、なんで必要？#検査前 #絶食 #CT検査 #造影CT #エコー検査 #放射線技師 #診療放射線技師 #医療知識 #検査の不安 #不安解消,"May 30, 2026",62,1,0.0063,0,15,0
43EsE8xRmBM,検査当日の持ち物チェック#検査前の準備 #病院の持ち物 #放射線技師 #MRI検査 #CT検査 #医療知識 #検査当日 #保存推奨,"May 31, 2026",60,1,0.0057,0,18,0
UeyxDCFr3Sw,検査着に着替える理由#検査着#レントゲン#X線検査#放射線検査#検査前#医療知識#放射線技師#病院あるある#健康管理#保存推奨,"Jun 1, 2026",45,1,0.0002,0,22,0
OfHy4br_BNA,エコーで何がわかるの？#エコー検査 #超音波検査 #病院検査 #検査前 #医療知識 #血流 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 6, 2026",36,,,,8,0
ECyOLRqIiAs,レントゲン１回って危険？,"May 9, 2026",24,,,,1,0
A3S6inCBrZ4,エコーは被ばくする？放射線を使わない検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #保存推奨,"Jun 5, 2026",46,,,,19,0
mlkNWVz1dI4,骨密度が低い＝すぐ骨折？ではありません#骨密度検査 #骨密度 #骨粗しょう症予防 #骨折予防 #DXA #健康診断 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 14, 2026",46,,,,10,0
pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,,,,29,0
nDDM0kBf-T4,動いてしまう子どもの検査、実際どうしてるの？#子どもの検査 #小児検査 #レントゲン #CT検査 #MRI検査 #検査の不安 #病院 #子育て #育児 #診療放射線技師 #医療 #医療従事者,"Jul 11, 2026",54,,,,25,0
JIJDZSx4ieU,一度骨折すると次の骨折にも注意が必要です#骨密度検査 #骨折予防 #骨折連鎖 #骨粗しょう症 #整形外科 #予防医療 #女性の健康 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 18, 2026",51,,,,11,0
sEQXMAONuSU,手術後に何度もレントゲンを撮る理由#レントゲン #手術後 #術後 #骨折 #骨折治療 #診療放射線技師 #放射線検査 #医療知識 #患者さん向け #検査の不安 #病院 #医療情報 #保存推奨,"Jul 22, 2026",66,,,,38,0
oEllZfP-5OE,検査のたびに名前や生年月日を聞かれるのはなぜ？#診療放射線技師 #放射線検査 #CT検査 #MRI検査 #医療安全 #本人確認 #検査前確認 #病院あるある #患者さん向け #検査の不安 #医療知識,"Jul 19, 2026",52,,,,20,0
Xslt2TVY6Dc,抱っこしたまま検査に付き添っても大丈夫？#レントゲン #小児検査 #子どもの検査 #付き添い検査 #医療情報 #診療放射線技師 #検査の不安 #子育て #育児 #病院付き添い,"Jul 9, 2026",55,,,,14,0
k9t-H7VjThQ,骨密度検査、何歳から受ければいい？#骨密度検査 #骨密度 #骨粗しょう症  #骨折予防 #閉経後 #女性の健康 #予防医療 #健康診断 #整形外科 #検査の不安 #診療放射線技師 #保存推奨,"Jun 21, 2026",64,,,,19,0
fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,,,,21,0
